Gene,Combined_Score,Clinical Trials,Hpa,Heatmap,Vital,Non Vital,Protein Vital,Protein Non Vital
APCDD1,9.549072860010458,26.0,8.0,0.8317643878569103,0.0,0.0,3.5191934507561644,3.738703011406285
CTNS,9.547807398344142,24.0,8.0,0.4427895158652649,7.269324375,17.2543553608737,0.0,4.17067578045136
LPP,9.530460732204302,25.0,10.0,1.124964070520828,4.288431875,38.5033598789174,5.342514083126345,5.831871244552689
FBXW7,9.521386277040769,33.0,0.0,0.4692354598695052,20.3295525,12.4886677540361,0.0,0.0
BCL2L1,9.519430707100557,32.0,5.0,0.7012628598320301,0.0,0.0,4.794140609834554,4.729994456301448
UNG,9.519318324892481,34.0,5.0,0.0139472648556322,16.998533125,27.8799851756885,4.993991464478877,4.515087320704779
BST2,9.51545307259906,29.0,8.0,0.4458143607074299,48.1283375,185.820011847104,4.949161613727017,5.049247378338134
TRPM7,9.50497863108776,22.0,10.0,0.9693553139157164,0.0,0.0,3.288065079960925,3.0943178305419883
BRCA1,9.501056235624242,35.0,0.0,1.3863772147533866,1.08300075,2.5000723679962,3.421570043368269,3.1499265159434526
PDE4D,9.498904761660775,22.0,10.0,1.3929515398337196,3.082618125,5.47822001661918,4.06333183960268,4.058178390211517
NRM,9.49044709806709,34.0,5.0,-0.0432190670780238,4.2643675,18.379885982906,4.856724686334193,4.9614554923130205
ITCH,9.48858308267537,25.0,7.0,2.0251557869316708,13.245813125,22.6374530674264,4.496589955034327,4.360523756432739
LEPR,9.485310218856517,25.0,10.0,-0.3281247756461374,2.3196098125,6.19281618566002,2.697902492138894,3.454152660823779
SMAD2,9.483109328746755,32.0,5.0,0.7546337134306915,0.0,0.0,5.211596691671651,4.751142924964902
MVD,9.478407933671848,35.0,5.0,-0.4364481598402888,30.598350625,27.3394326020893,4.888079316369623,4.805814230913473
MBP,9.474865005055957,25.0,10.0,1.0569284682503557,0.0,0.0,6.169332624331716,4.716178965873153
TRADD,9.47420214794336,32.0,7.0,-0.1663202425962245,7.25235375,25.2611958974359,5.318838921652911,5.256168260541896
ATP1B1,9.473150800194936,32.0,8.0,-0.10733906953095,224.5621375,99.6424758998101,6.242822488891597,5.605792649153277
CHL1,9.45539766125596,24.0,8.0,1.7760387020062345,12.615349875,5.93067221058879,4.3915143826029786,4.509101375361984
ESR2,9.455034849969863,33.0,0.0,0.7957661276535344,0.0,0.0,0.0,2.968596804763325
IL6R,9.454844658758251,25.0,8.0,-0.2007999234034999,4.8014925,16.6939237796771,0.0,3.9947624236276376
IFNAR2,9.451014597128271,23.0,8.0,0.4412301784124973,7.876699375,15.4208549097816,0.0,3.478816675632004
NUMB,9.449393034171072,25.0,10.0,0.4972453748989165,14.20126,29.588278328585,4.6142096731470525,4.842164847943799
ASPH,9.449084703748147,30.0,5.0,1.312591451270345,11.782169375,20.22981168566,4.764231331595146,5.0089728831322535
VHL,9.437722788332623,33.0,7.0,-0.9531385143916584,11.846149375,16.4561314292498,4.679249775361457,4.662678547142961
SLC22A1,9.434270269441457,25.0,8.0,-0.1601032646166341,0.1998818625,10.7570308783476,0.0,4.563685721552597
XPO7,9.413037483466956,31.0,5.0,0.8413389552251636,0.0,0.0,4.845424833852037,4.890251761681582
TEC,9.402069271335833,25.0,10.0,-0.3642111655853002,0.59453114375,3.5188079811491,3.2860431846927467,3.334604057534216
TIAM1,9.40026494197473,30.0,7.0,-0.3615061771943504,36.8094739375,6.18039483048433,3.935977811164822,3.613681409273628
NRP1,9.390871786101918,32.0,8.0,-1.9746984245645285,6.8516934375,22.3902385622032,3.3586066013093774,2.973935940066878
HDAC8,9.387596228969187,32.0,0.0,2.682312414322865,4.916351875,6.18917458689459,4.428738959468814,3.888432437824064
HLA-DPB1,9.387570612671349,33.0,8.0,-1.4855537772749865,29.03209,57.5754700332384,4.849898869171874,4.842090022555798
PLS3,9.37989021577323,27.0,7.0,1.642822765656185,34.563321875,126.049452680437,5.610212886023899,5.563999243407415
HFE,9.376700027906162,25.0,10.0,0.018307713231217,1.1085379375,4.81904243447293,4.149940491191071,4.193262906165586
EZR,9.37429925589032,32.0,10.0,-1.4492028158807373,78.206879375,128.032470593542,6.2345059416027055,5.988108071916936
AURKA,9.371210731360028,30.0,7.0,-0.0300572266848453,1.168636125,4.62141722602089,4.768971321473934,4.471837969241951
TNFRSF18,9.370249358328474,31.0,8.0,-1.1835154901206966,1.78320725,4.18477304415954,4.109348676212792,4.263362466467316
ADAM10,9.36106667667325,23.0,10.0,1.0487384142264131,0.0,0.0,4.780794255390259,4.857622756963653
TNFRSF10B,9.359504696668548,32.0,5.0,-0.6202185617024807,10.126623125,37.7669212108262,2.687162573802982,3.582718719335194
PDE3A,9.336712019181082,29.0,7.0,-0.0260271255623623,5.356552375,11.4745594897911,4.1532926105301975,4.071715793805881
MCC,9.334707298584537,25.0,7.0,1.5405631959070836,5.0367225,12.3748026519468,4.429994808832101,4.053470447963271
SRPK1,9.333493721358305,30.0,7.0,-0.2065533033877999,9.7020725,18.784484311491,4.448537801674736,4.5899127544286
CXCL16,9.32343057092772,31.0,8.0,-1.127916387723479,16.45278875,28.6189419848053,4.294860671794382,4.802901980962773
ICAM1,9.314513907897846,33.0,7.0,-1.275801712486478,16.5857109375,22.7380152302944,4.532908032851075,4.898292867183869
SCN9A,9.31425334647966,24.0,10.0,0.0471480563200013,1.2736619375,1.65664866158594,4.161184855399641,3.14826135359894
MTOR,9.299987273057916,25.0,7.0,1.2815137498109888,11.43673,14.9762863390313,3.90983993594605,4.076012061149802
CISH,9.295204566269183,35.0,0.0,-0.3716642064261373,5.4165015,17.8074450493827,0.0,2.837265865836894
TLR2,9.292209301323705,32.0,7.0,-1.2727592432079715,6.868831875,15.8405781956315,4.21142654407244,3.8190548218085545
SMARCA4,9.288952984575056,33.0,0.0,2.105477753839886,30.7929625,35.5132412630579,4.313514073466997,4.225470532685567
NF2,9.283196128721174,23.0,10.0,0.5382618524537066,17.332011875,11.8886190123457,4.163360226105959,4.206057407198973
RDX,9.282665023387246,22.0,10.0,1.654209571325352,24.3760125,33.5184845204179,5.694133266212002,5.400835878826316
MAPT,9.26820444876992,25.0,10.0,0.3325453123238614,89.058074375,6.8835611039886,5.5848113784030495,4.350931600967567
PVR,9.2667737990798,25.0,10.0,-0.0770901257722273,14.3266075,22.3378276115859,4.407066693092369,4.680235527148115
MLH3,9.263183590636611,32.0,0.0,0.791870702355136,0.0,0.0,0.0,3.6725758572836313
SLK,9.261169835176204,31.0,7.0,-0.7127426886565987,15.34308,30.7919182241216,4.522470565243787,4.691101768561719
