Gene,Combined_Score,Clinical Trials,Hpa,Heatmap,Vital,Non Vital,Protein Vital,Protein Non Vital
RAPGEF6,11.957436555319564,0.0,7.0,2.202599626041875,6.74542375,6.28055224596391,3.636371586733192,3.516485426993288
RAB38,11.9506843816947,0.0,7.0,2.292993984283164,0.717318925,10.0101541774929,4.213918185500977,4.226098354801366
NSG1,11.917477912726707,0.0,5.0,2.599974612030242,30.9267015625,11.9100543043685,4.158191171570003,4.609831986796463
CDKAL1,11.917062685477338,0.0,5.0,2.531602777875116,2.789974375,6.49137679962013,3.877063865765051,4.007521473766187
RANBP17,11.913174094720222,0.0,5.0,2.3822062903106063,0.8591021875,1.27305834188034,2.747991031323035,3.456950323424421
PRKCE,11.907108544328876,0.0,10.0,1.7503242949010227,11.17921375,3.73984891737892,4.025505996305516,3.74241538644279
TASP1,11.900404306564948,0.0,7.0,2.241257112342946,4.32046625,11.0044162939221,4.094061514809713,4.201786125308355
NEO1,11.895528657968011,31.0,10.0,1.1129138818669495,17.608419375,19.8400189838556,4.410762061094744,4.0662578845353705
TTC17,11.88488298996821,0.0,10.0,1.6911834974681654,15.244135625,31.109792008547,3.566598842844499,3.786675182512797
LRRC8D,11.875431497707083,0.0,8.0,2.085600849775501,12.092898125,8.63872239791073,4.467143716758777,3.7978551935651743
PLXNA1,11.85315133932532,21.0,8.0,1.604164242058251,16.77574625,21.0259488532764,4.541052032159197,3.6488486990283375
ARHGEF11,11.842011854580052,0.0,7.0,2.1712939510445324,18.55299,21.6835633618234,4.036149853612362,3.7624863920629785
FDFT1,11.823470340693397,32.0,5.0,1.8484787315369329,37.41514375,55.1615293447293,4.461790989097143,4.521284447758006
ENAH,11.819968808865164,17.0,7.0,1.9612773586529613,10.02855125,18.8079031452991,5.138192172135565,5.15472235533257
ASAP2,11.807466377961545,0.0,10.0,1.7163279426336642,7.052236875,14.3945195035613,4.222297205488448,4.186240252877344
ITFG1,11.805765773387746,0.0,5.0,2.551147362861328,18.20981125,16.7983107454891,4.606895802764485,4.5027342238199095
TNFRSF19,11.796261170718553,0.0,5.0,2.057681097279821,3.3202858125,8.998855334283,0.0,4.390223283786943
LAPTM4B,11.78748604289643,0.0,8.0,1.3648533128207956,33.37758125,42.5048778015195,0.0,0.0
ATR,11.783369444409802,25.0,5.0,1.7778940223468729,4.10977375,8.03024654795821,3.4050823405692743,3.117306754476488
TMEM87A,11.781801065636309,0.0,8.0,2.0622087812027687,14.441894375,28.6608538271605,4.635515186140094,4.365802960958851
LRBA,11.776084680031408,19.0,7.0,1.744226600475696,3.687225,10.3133291073124,4.242650632167245,4.318846871838132
DNAH14,11.775326570210712,0.0,0.0,3.065725436796753,0.159887825,0.592200893637227,2.6975036652997355,3.823226013247365
APC,11.7635853707039,25.0,10.0,1.0240010878613144,0.0,0.0,3.789937084279661,3.1220337369520097
NKTR,11.762094425402054,33.0,10.0,0.9101894274874156,0.0,0.0,4.09126809295772,3.766784382971685
CALD1,11.758275746009067,0.0,7.0,2.4123513009891058,39.55438125,336.663269981007,5.527702693491782,6.082177822176389
TEX41,11.753743234998364,0.0,0.0,2.5699091346878866,0.025098004375,0.241650526386515,0.0,0.0
RNF144A,11.753119243151836,0.0,8.0,1.948440620111942,26.8998775,13.4490232573599,3.8240255780922414,4.183519829387915
MC1R,11.744724877504085,33.0,8.0,0.5896937867796934,6.25512625,8.60480586419753,0.0,0.0
SLC39A11,11.743975819287748,0.0,8.0,2.051242099591646,3.7601495625,6.03402079439696,4.671271770768092,4.732180398763282
C12orf76,11.743025819861442,0.0,5.0,1.9421316900212728,15.998135,5.67170140550807,0.0,2.9192801456269883
SLC23A2,11.730090051165801,0.0,8.0,1.9136537174469128,28.63094,24.9099016809117,3.848939226811416,3.78623927050654
CTTN,11.720205298674399,29.0,10.0,1.2209088132102428,81.420225,166.973864957265,5.48631762380088,5.230497987515059
COMT,11.707025894391851,25.0,7.0,1.789340790436599,30.0522,40.4692600664767,5.693488077936292,5.7135743641513885
GIPC1,11.698359554931837,0.0,7.0,2.2075419289513727,66.9409375,83.3976513770181,4.836794149004368,4.681085002556064
KIAA0319L,11.694433138519532,0.0,8.0,1.8766103630410524,18.68749375,20.3313209401709,3.706268495661124,3.9434469267622574
ST3GAL3,11.688896139918777,0.0,5.0,1.9775339983320863,13.30611375,13.0146095061728,0.0,4.398799185835803
PPFIBP1,11.684942154432342,0.0,7.0,2.103704821111672,9.9286925,19.474192794397,4.261888829673556,4.400600742276291
SEMA5A,11.681031204159703,0.0,5.0,2.216713468460943,4.939806875,5.27410905674264,2.986072292604664,3.24551125613586
MCC,11.677696523231244,25.0,7.0,1.5405631959070836,5.0367225,12.3748026519468,4.429994808832101,4.053470447963271
CDC42BPA,11.676180880097196,0.0,7.0,2.0490379442874493,15.05414125,14.8079886063628,3.934021736969498,4.116313274899315
TRPM7,11.676127530692108,22.0,10.0,0.9693553139157164,0.0,0.0,3.288065079960925,3.0943178305419883
ZNRF3,11.670129500948415,0.0,8.0,1.264297501038682,7.2317925,6.68887696747388,0.0,0.0
SYNE2,11.661946341121356,0.0,8.0,1.8724435594652715,5.409128125,18.8217953466287,3.969346629233101,3.892450199691979
PKP4,11.648429311059889,0.0,10.0,1.6493168428031808,72.31776,24.6628392022792,4.624436653610768,4.1463883502965615
DMD,11.63972138877924,24.0,7.0,1.5538937263878354,4.12805,9.42333265360874,4.533373435413147,4.252317872064133
SHC4,11.632567499184377,0.0,7.0,1.6097451493192212,3.175785375,2.8414079142925,0.0,4.208985363046009
CLCN7,11.632230160942061,0.0,5.0,2.3466203710189912,21.71365625,32.4892730294397,4.083610146622572,4.163171905466817
MAP2,11.621216752091325,24.0,7.0,1.6041736996757627,76.3208925,5.91499889221273,5.045302030141745,4.139099509597381
LRP6,11.61850487422892,0.0,8.0,1.6339344216516116,6.249064375,11.9755207051282,2.4961198640577003,2.89540522399778
FAN1,11.613860698526647,0.0,5.0,1.904119876620768,8.34429,11.3403201210826,0.0,4.136393527947184
NRG2,11.587595722758412,33.0,8.0,0.6504547117329429,4.5335228125,2.74448465432099,0.0,3.50582678301007
PLS3,11.586450895862757,27.0,7.0,1.642822765656185,34.563321875,126.049452680437,5.610212886023899,5.563999243407415
GSK3B,11.58527864626791,23.0,8.0,1.4768050987607213,14.7886425,15.2287805223172,5.152158808765077,4.850410806417066
CADM1,11.578115874750571,27.0,10.0,1.0506659335148183,0.0,0.0,5.040722907318821,4.762014075484733
MMP17,11.574680542290475,0.0,7.0,1.3477999702169203,16.786679625,5.44239362962963,0.0,0.0
MFSD12,11.561892641786766,0.0,5.0,1.8785135120436949,17.160280625,20.7006459354226,0.0,4.361900737769597
COA1,11.546058451857933,0.0,5.0,2.3490098556272394,5.396939375,7.16124519468186,4.69543453214213,4.396600740492555
NAALADL2,11.543879766156948,0.0,5.0,2.2446359683517607,0.320318125,1.22881256417379,3.944440941170916,3.950661666637993
INPP4B,11.532897815288763,0.0,5.0,2.320593991321259,1.59965825,4.0893872682811,4.665333900982089,4.131549904669766
FRMD6,11.531744640547233,0.0,7.0,1.9230448834841607,3.881135625,21.0943641170465,3.778107530620476,4.204057152036516
KRIT1,11.52861962865561,0.0,7.0,1.88007274261532,10.741821875,19.1124912155746,3.630484624923836,3.6917611219981614
CYTH3,11.515354947187681,0.0,7.0,1.980701300088376,18.478711875,29.937325660019,4.414256511747403,4.210423113658265
FBXL17,11.506876100044458,0.0,5.0,2.106935400660172,9.050188125,6.88773832383666,3.060567774891091,3.563544054111936
TTC3,11.506693485434386,0.0,5.0,2.10737822875773,38.471275,31.8647755460589,3.230939809020473,3.0607863315928405
OSBPL1A,11.505011301791084,0.0,0.0,3.0589952802658136,25.691601875,18.2929600282526,4.422475408143495,4.153532454010279
LONRF1,11.504035542022677,0.0,7.0,1.2924612270582196,9.838308125,21.3373057122507,0.0,0.0
FXYD3,11.502684084150475,0.0,10.0,1.7237795501676292,4.0551905625,40.8778380838082,5.75041042446593,5.808337470335803
LPP,11.498966648336742,25.0,10.0,1.124964070520828,4.288431875,38.5033598789174,5.342514083126345,5.831871244552689
IL1RAP,11.49716297602148,32.0,8.0,1.0328432043647715,0.0,0.0,3.930060482594657,3.999209149536688
ADAM10,11.489459478462662,23.0,10.0,1.0487384142264131,0.0,0.0,4.780794255390259,4.857622756963653
ST3GAL5,11.476128859492578,0.0,5.0,2.2322874241915445,10.1626670625,6.82005087986705,4.2356076374893,4.090114410886404
KCNQ5,11.466486583531207,0.0,8.0,1.5434377965763506,5.59744893125,1.17577663338082,3.0327849251767582,2.383917106426727
TRIB2,11.465189331643122,0.0,5.0,1.5770976552322593,20.76415,38.1707497863248,0.0,0.0
NSD1,11.465024365002792,0.0,7.0,1.7865529951336334,8.635811875,13.2853003038936,3.515897679606488,3.094735209887729
ANKS1A,11.461993345738021,0.0,5.0,2.271791259058785,17.410714375,27.9277752991453,4.553082446358808,4.360974956713638
LGR4,11.44510750571666,0.0,8.0,1.2899118289535207,9.475330625,17.7227800261159,0.0,3.7969021447246254
DLGAP1,11.436114421863955,0.0,7.0,1.999515934271842,10.56887120625,0.46571900322887,5.577438807140494,3.5341706737537235
RGS12,11.43519007116135,0.0,0.0,2.874631066190148,13.545453125,12.9744509401709,3.6045506795236566,3.3485549109788875
SNCA,11.430820028546268,22.0,0.0,2.7673695853252207,42.85445525,7.78464723860399,5.980015606195136,5.870977116912924
PHF14,11.429539174154451,0.0,0.0,2.919731158792401,7.525803125,10.193257977208,3.7159126854978624,4.10630228822447
CLCN3,11.428795173122227,0.0,8.0,1.7094424787766092,22.77824375,16.0809070037987,4.039277685785965,4.022039636221707
PHLPP1,11.428451807533001,0.0,7.0,1.788706253737261,14.7182875,7.15837675688509,3.7536844418756137,3.189739293619824
SCARB1,11.423658109626206,0.0,8.0,1.7953998918301737,19.899655,42.9363645204179,4.693077298168768,4.422407456152729
PTK7,11.419649965800387,32.0,7.0,1.229130452689721,5.00100575,23.8217047255461,4.542680776483526,4.661325505068339
PTPRA,11.41772212128087,0.0,8.0,1.7548515430744254,75.99915625,53.2055700379867,4.252510495882244,4.322515971080125
MTOR,11.409555184431422,25.0,7.0,1.2815137498109888,11.43673,14.9762863390313,3.90983993594605,4.076012061149802
SLC16A1,11.394307878079921,31.0,10.0,0.8794235835144619,0.0,0.0,5.479350445688112,5.048758735838371
STXBP1,11.385281443028582,24.0,5.0,1.7888646626727445,98.2947825,18.546957977208,5.170854336159668,4.859992954803051
MBP,11.382066178520024,25.0,10.0,1.0569284682503557,0.0,0.0,6.169332624331716,4.716178965873153
PIR,11.377666440023503,25.0,0.0,2.464344739250864,10.43933125,12.348104199905,4.715057143613143,4.787647607840587
ETV5,11.3747369079831,0.0,0.0,2.464678623862879,12.07838625,8.86027836419753,0.0,3.539821864509239
ST3GAL4,11.373902144639274,0.0,5.0,2.0544708285899262,13.217805625,23.660615308642,3.27857151432198,4.058453096582128
PTPRS,11.366839713815217,0.0,10.0,1.369154901158047,23.5457725,31.8123788698955,4.261513059809268,3.910945889717295
CABLES1,11.362932228053898,0.0,0.0,2.936884081807985,19.513336,7.16122984140551,4.490231842785616,3.842442691630214
SLC38A6,11.36079325074561,0.0,10.0,0.9253626313778792,0.0,0.0,0.0,4.092190495480526
SPTBN1,11.36018413977558,0.0,7.0,2.162746566369798,113.18565,94.4440424738841,6.323099381166226,5.673061971430332
