Gene,Malignant_Percent,NonMalignant_Percent,Z_Score
IFT57,16.898178482505568,24.963454402338918,-0.7033100479092477
TTC39B,7.821480053166595,15.276059822332172,-0.7040587022409777
NDUFC2,32.076866915027054,41.24030136062071,-0.7062537877126942
TMEM123,42.40878372053841,52.28831665354774,-0.7065444436643069
BAZ2A,33.377014808019915,42.645901270662314,-0.7071271909306482
NDUFA3,21.860081996368198,30.344090857978184,-0.7075316815545177
HEG1,8.058296048074583,15.602159001461825,-0.708040649945542
SLC16A7,10.650167549656476,18.385246823344204,-0.7087450403762519
MAP3K5,18.03545687702417,26.284718317778026,-0.7090789585590691
DNAJB1,27.347099238070278,36.253232879793096,-0.7099676368844811
SEC11A,52.295149484246586,62.93151917238278,-0.7107296321818892
HOXB2,6.734747365071045,14.24153828854155,-0.7109854291020958
TLE3,18.311586199150085,26.622062296188016,-0.7113821324671923
MRPL41,25.769885991351067,34.594624985944,-0.7114464516687534
DDX5,74.728082820076,86.92792083661307,-0.7118329369108785
SLK,30.098096111724733,39.244349488361635,-0.7127426886565987
PMP22,35.53643971020462,45.05791071629371,-0.7128023681170218
ANK3,5.917591777898422,13.426290340717417,-0.7141562243652743
MRPL14,28.126813561225827,37.19217361970089,-0.7157277668306914
RUNX3,24.169271954621188,32.97537388957607,-0.7164367278046879
GOLT1B,22.63605219312204,31.33925559428764,-0.7165773279998601
TMEM65,22.20734972012655,30.88384122343416,-0.7167289931421655
CDKN2D,7.813991800363181,15.512200607219162,-0.7173775977418384
CD59,53.80496845573507,64.68008546047453,-0.7180878666353672
EIF4H,42.714866053877984,52.84493421792421,-0.7190632872979619
BCL9L,9.613980567983974,17.48004048127741,-0.7197792161086418
COLEC12,4.922590186644701,12.487349600809626,-0.7209487049831208
CIITA,5.025553662691652,12.599797593612955,-0.7210797029963474
ANXA6,18.125315910665144,26.605195097267515,-0.721322706364949
DNAJC3,41.39131737087444,51.4730687057236,-0.7213946244088252
NASP,47.91264953104817,58.44484425952997,-0.7214937457814063
POLR1D,43.620008611490725,53.8682109524345,-0.7221109725190973
RAD23A,41.58975607016493,51.70358709097043,-0.7223999539994821
VCP,42.102701387198834,52.25458225570674,-0.7225506551552634
PGM2L1,10.871071007357209,18.880017991678848,-0.7228564204165617
BMI1,12.696332628189527,20.836613066456763,-0.7231710294105897
LPIN2,23.812643914858565,32.72798830540875,-0.7237346750816935
CARD16,8.037703352865194,15.872034184189813,-0.7239639435308518
TP53I11,3.6523953048654927,11.194197683571348,-0.7244632720566386
NBPF20,5.135069359941592,12.779714382098279,-0.7245093173100285
PCNP,43.524533388247185,53.817609355673,-0.7249172932158103
PMAIP1,17.69286931126795,26.211627122455866,-0.7250666090292318
LONRF3,5.267049815601775,12.93714157202294,-0.7254022099082533
RASSF1,20.65166520021716,29.382660519509727,-0.7255407355097002
LAT2,5.042402231499335,12.70100078713595,-0.725618303189506
CCT7,32.73489713012711,42.302934892612164,-0.7258567339585764
KCNK1,3.9491173222007974,11.537164061621501,-0.725872482498871
FBXL3,18.515641088043132,27.11121106488249,-0.7261691697027135
MTA2,7.671714997098301,15.523445406499494,-0.7262866780733401
SLC2A6,3.588745156036468,11.171708085010684,-0.7269475945668047
ISG15,17.20800494224685,25.74496795232205,-0.7278794261860351
ADIPOR1,30.000748825280343,39.41864387720679,-0.7279270034024627
VDR,5.469232641293971,13.21826155403126,-0.7289497224338384
ALKBH5,24.757099799689236,33.83560103452153,-0.7290909598033755
RGS19,7.357208379354888,15.259192623411671,-0.7302085167366683
RAB20,8.475766141864948,16.45676374676712,-0.73032109623729
PSMD2,31.40947638392272,40.970426177892726,-0.7304442713646965
CCDC117,9.004623996106108,17.02462611042393,-0.7304641588112208
NCK1,32.63567778048187,42.3141796918925,-0.7322552921772668
TMOD3,50.16193346687384,61.04801529292702,-0.7323580872482176
PDCL3,13.787745474287211,22.191611379736873,-0.7334545180133041
BANP,28.962689780406986,38.412234341617,-0.7335493538589771
POLR2M,9.148772862571839,17.238277296750255,-0.7337147662581909
PDLIM1,13.429245371323736,21.81491060384572,-0.7338070349002075
FAM110B,5.142557612745007,12.959631170583604,-0.7338877774997193
SAT1,79.54022127787034,92.47722928145733,-0.7339884520686768
MAP1S,9.34346743546062,17.451928483076575,-0.7340182390509908
FBXO34,29.88936106482955,39.446755875407625,-0.7359552200693968
POLR2E,31.182020705019003,40.829866186888566,-0.7360383517373281
GDI1,21.958365314413015,30.97379961767682,-0.7361538965078598
MRPL23,13.225190482430687,21.640616215000563,-0.7361963749440226
NDEL1,30.32274369582717,39.92465984482177,-0.7367575561801236
LDHB,30.635378250369733,40.273248622512085,-0.7375456859948144
ZNRF1,26.097497051500458,35.432362532328796,-0.7380460853882673
ARF5,22.631372035119906,31.73282356909929,-0.7383206824373792
EDEM1,18.540913941254658,27.38108624761048,-0.7394182114722024
BHLHE40,20.85852818391149,29.860564488923874,-0.7395506009965215
PPIL4,25.738996948536986,35.07815135499832,-0.739625486366552
SDE2,11.66201770971788,20.03823231755313,-0.7399237514417004
JUN,33.43317670404553,43.30934442820195,-0.7400456775662035
PHB2,32.650654286088695,42.50534127965816,-0.7418105818712903
NDUFB9,38.82471872250407,49.11728325649387,-0.7425274643872724
ARPP19,37.64344684276541,47.857865737096596,-0.7426975836692304
IL15,3.7319579909017726,11.61587765658383,-0.7428283405181015
ELL,19.271018589587584,28.230068593275607,-0.7431633631393879
MYH9,52.89420970851976,64.17406949285956,-0.7435859749220186
CCNK,22.67162139393826,31.895873158664116,-0.7448687996900909
DSTN,48.045566018308776,59.023951422467114,-0.7453361385253583
TET2,23.62262949997192,32.92477229281457,-0.7455489541182501
FEM1C,12.824568957448005,21.387608231193074,-0.7457526998786639
TRERF1,11.707883258138795,20.195659507477792,-0.7458376882655479
TRAPPC4,16.74747739483685,25.598785561677722,-0.7467563508856048
SYTL4,2.859576539303967,10.755650511638368,-0.7467653850910366
FBRS,15.068236703671115,23.810862476104802,-0.747129428020445
WBP11,29.166744669300037,38.884515911390984,-0.7474162280259626
PSMD7,38.19476945541682,48.53817609355673,-0.7476652290759909
TBK1,35.85094632794803,46.04745305296301,-0.7484475414007363
PAF1,14.003032742385383,22.720116945912515,-0.7497336835967046
EIF2S2,54.63990864331579,66.15315416619814,-0.7497664762593621
ANKH,18.729992324540877,27.785899021702466,-0.7504776584477615
STARD4,3.94537319579909,11.998200832115147,-0.7512419126428641
PITPNM1,4.166276653499822,12.251208815922636,-0.7521642887008265
ACVR1B,13.795233727090627,22.585179354548522,-0.7544883770711157
PHF23,14.03579384840032,22.843809737996175,-0.7545713662308575
ERRFI1,11.196810004305744,19.813336331946473,-0.7547794646597852
DDX6,37.17823913735327,47.61610255256944,-0.7566331338187791
DYNLRB1,25.015444521407044,34.61711458450466,-0.7566620493020023
TMEM167B,13.596795027800137,22.41650736534353,-0.7568569787317574
PPIF,16.41331411348447,25.430113572472727,-0.7570385548583687
