"Gene","Adipose_Subcutaneous","Adipose_Visceral_Omentum","Adrenal_Gland","Artery_Aorta","Artery_Coronary","Artery_Tibial","Bladder","Brain_Amygdala","Brain_Anterior_cingulate_cortex_BA24","Brain_Caudate_basal_ganglia","Brain_Cerebellar_Hemisphere","Brain_Cerebellum","Brain_Cortex","Brain_Frontal_Cortex_BA9","Brain_Hippocampus","Brain_Hypothalamus","Brain_Nucleus_accumbens_basal_ganglia","Brain_Putamen_basal_ganglia","Brain_Spinal_cord_cervical_c-1","Brain_Substantia_nigra","Breast_Mammary_Tissue","Cells_Cultured_fibroblasts","Cells_EBV-transformed_lymphocytes","Cervix_Ectocervix","Cervix_Endocervix","Colon_Sigmoid","Colon_Transverse","Esophagus_Gastroesophageal_Junction","Esophagus_Mucosa","Esophagus_Muscularis","Fallopian_Tube","Heart_Atrial_Appendage","Heart_Left_Ventricle","Kidney_Cortex","Kidney_Medulla","Liver","Lung","Minor_Salivary_Gland","Muscle_Skeletal","Nerve_Tibial","Ovary","Pancreas","Pituitary","Prostate","Skin_Not_Sun_Exposed_Suprapubic","Skin_Sun_Exposed_Lower_leg","Small_Intestine_Terminal_Ileum","Spleen","Stomach","Testis","Thyroid","Uterus","Vagina","Whole_Blood","VitalAverage","NonVitalAverage"
"SIK1",3.53718,3.31385,0.430532,0.840047,1.27516,2.38039,0.976253,0.220645,0.215373,0.245288,0.148141,0.251291,0.392621,0.280223,0.196423,0.309509,0.178288,0.165131,0.28591,0.215275,2.90644,0.141512,0.506855,1.56208,0.848971,0.944144,0.582439,0.913021,0.933078,0.938157,4.19687,1.26999,0.373677,0.555572,0.477174,0.745953,2.16374,1.7701,0.972744,2.97298,4.60358,0.324596,1.84331,1.03377,14.4041,10.9543,0.811411,0.69809,1.36864,0.553005,1.39985,1.40085,2.9863,0.0754514,0.4319703125,2.01887135422602
"ERLEC1",57.3951,46.6349,56.3796,105.525,86.1126,85.0775,50.941,21.7013,31.9549,26.4147,38.9054,35.5507,39.9538,54.3434,23.0866,38.5837,30.556,21.1207,40.7518,25.5522,55.6682,92.8266,45.4681,83.47,85.3403,43.1785,41.199,42.9928,31.0993,41.0457,70.5433,30.9486,19.8073,22.062,24.8789,20.3223,66.4539,63.9484,23.3532,65.0677,63.2057,42.4852,112.079,57.0165,33.4628,35.3885,40.604,46.593,41.3638,67.1001,76.5451,71.6449,53.7006,7.41212,34.1053125,54.8185696106363
"TSR2",67.9318,55.41,70.2205,110.196,87.2565,114.275,72.3936,118.471,128.79,111.864,134.109,109.629,127.823,166.322,107.266,141.775,142.235,117.386,201.079,140.895,68.9819,62.3289,72.5819,87.4691,82.0786,78.9764,51.6428,79.5006,52.3463,75.9713,72.7099,40.2342,31.8803,43.1919,60.0404,25.9083,66.1514,52.087,40.2789,98.4771,76.3803,20.8637,93.7796,69.1982,68.8264,72.3871,53.265,58.4383,50.0059,39.9022,96.5605,89.8704,72.7222,17.8656,117.86936875,67.8126853751187
"RELL1",14.7922,13.915,1.57663,5.14379,7.82366,7.78426,6.87453,1.6879,1.70038,2.10663,5.42984,4.86106,1.90001,1.92571,1.77864,2.01122,1.45946,1.70302,14.1643,3.51227,11.9186,6.75542,2.83841,8.76316,9.64351,7.4357,7.17478,7.20598,4.65212,7.13911,8.63333,2.99832,1.94638,1.93997,2.73386,0.973436,9.61955,4.35524,2.68192,10.5634,6.21978,1.19639,2.04643,3.73092,9.06696,9.52042,7.29058,5.02289,9.60621,2.09903,11.2375,9.1785,6.80861,4.46516,3.675293125,6.57797315764482
"BLOC1S4",15.4513,13.8228,16.6012,18.3528,16.5217,14.3683,19.3512,5.94366,6.7842,7.48911,12.0925,11.5811,8.44226,9.05254,6.61042,6.84034,8.24605,6.3153,6.63197,6.34736,16.6825,27.834,24.6565,20.6311,22.1618,13.0322,13.1196,14.241,15.9703,13.5473,20.9464,6.66297,4.55381,9.01495,13.7616,7.473,13.6464,12.6909,8.08033,18.634,25.9568,5.17266,13.5908,18.9943,13.7938,14.6838,17.45,22.9668,11.6403,14.7905,17.3411,21.4036,17.0815,6.37139,7.952499375,15.9436691073124
"ZNF350",8.72543,5.79697,4.72096,7.55503,7.95902,9.26774,8.73332,3.35474,3.0716,4.29771,10.9066,9.59945,3.4461,3.42591,3.50349,3.42308,4.22106,3.6468,5.04901,3.33484,8.73412,6.91002,7.06661,8.93455,8.36456,8.32565,6.27711,7.72078,4.73775,7.82437,9.25669,2.86596,2.4471,4.29016,7.17476,1.90238,7.21326,6.44108,2.35097,10.3103,10.8603,2.34807,7.32267,17.9527,8.01796,8.1344,7.19944,9.47034,4.86357,10.3614,11.0955,10.2676,7.53048,3.76227,4.612919375,7.57122191832859
"SLPI",18.0342,210.442,4.95668,54.5198,67.8316,38.1147,194.515,1.39891,1.49768,1.21907,1.07671,2.05017,1.91549,1.41818,1.70832,1.72087,1.11589,1.02036,3.76663,1.58214,98.2832,2.07721,0.828713,22.4615,26.1395,16.8168,46.4884,93.1113,1417.93,75.5091,278.425,10.5005,1.58156,61.3887,369.946,117.875,879.622,13611.1,151.675,177.644,5.11461,12.4918,385.676,70.646,323.174,324.354,16.9147,19.0182,72.3002,52.6379,36.2965,7.99508,741.484,120.785,57.074655,505.644953036562
"SURF6",22.2065,19.1189,17.4208,25.2495,23.6199,26.3741,27.4958,14.0996,15.3703,13.6588,27.0597,23.4646,17.5976,20.2512,14.436,17.3949,14.4636,13.068,20.7003,17.1762,22.0292,24.451,28.2465,31.8867,34.3764,23.5672,23.6285,22.153,20.6976,21.7275,30.1789,9.29705,7.2309,11.3629,17.1965,9.29278,20.8046,17.3208,15.2463,34.444,32.1294,8.51219,18.3198,26.4083,25.4882,25.9605,22.9479,23.2954,14.1517,22.0472,27.8894,31.9624,26.3591,6.09703,16.629584375,22.6084341642925
"GOLGA6L9",1.13379,1.40349,2.25176,1.83581,1.51938,1.24216,4.12172,0.694336,1.00095,0.982394,4.37227,4.80497,1.22805,1.1937,0.735701,0.972434,1.10019,0.626149,0.777256,0.603132,2.11045,2.13411,6.85304,5.41712,6.42418,4.48051,3.74421,3.23102,14.662,3.37553,5.4065,1.40186,1.05669,1.53582,1.19875,0.945781,3.32429,10.2565,1.9032,2.41038,6.90537,2.65862,4.92018,4.64353,5.36714,4.43749,3.28989,2.81633,4.76811,13.3942,4.5923,6.66571,12.4408,0.0687553,1.55464825,4.36181593945869
"FABP5",130.484,154.398,3.52884,10.1693,36.1236,9.69783,48.873,27.413,25.6268,29.5783,45.1627,35.2947,17.4572,24.9297,27.0786,43.7493,32.7083,19.9181,48.6924,29.6808,95.5032,22.2838,72.29,28.6697,12.7992,30.6975,55.9782,39.015,1445.87,44.36,11.6075,32.6463,46.5529,2.69625,7.29148,1.34725,62.2716,25.5897,14.8594,46.138,5.66778,9.76638,14.5589,9.779,201.434,299.441,43.675,54.8488,42.1059,29.4133,34.8308,20.8094,1381.84,3.06568,34.29754375,117.821286158594
