"Gene","Adipose_Subcutaneous","Adipose_Visceral_Omentum","Adrenal_Gland","Artery_Aorta","Artery_Coronary","Artery_Tibial","Bladder","Brain_Amygdala","Brain_Anterior_cingulate_cortex_BA24","Brain_Caudate_basal_ganglia","Brain_Cerebellar_Hemisphere","Brain_Cerebellum","Brain_Cortex","Brain_Frontal_Cortex_BA9","Brain_Hippocampus","Brain_Hypothalamus","Brain_Nucleus_accumbens_basal_ganglia","Brain_Putamen_basal_ganglia","Brain_Spinal_cord_cervical_c-1","Brain_Substantia_nigra","Breast_Mammary_Tissue","Cells_Cultured_fibroblasts","Cells_EBV-transformed_lymphocytes","Cervix_Ectocervix","Cervix_Endocervix","Colon_Sigmoid","Colon_Transverse","Esophagus_Gastroesophageal_Junction","Esophagus_Mucosa","Esophagus_Muscularis","Fallopian_Tube","Heart_Atrial_Appendage","Heart_Left_Ventricle","Kidney_Cortex","Kidney_Medulla","Liver","Lung","Minor_Salivary_Gland","Muscle_Skeletal","Nerve_Tibial","Ovary","Pancreas","Pituitary","Prostate","Skin_Not_Sun_Exposed_Suprapubic","Skin_Sun_Exposed_Lower_leg","Small_Intestine_Terminal_Ileum","Spleen","Stomach","Testis","Thyroid","Uterus","Vagina","Whole_Blood","VitalAverage","NonVitalAverage"
"GAS7",20.5091,19.1168,4.07609,8.73545,28.2934,8.3497,24.1592,38.0352,55.4656,61.9288,279.855,205.466,76.4185,102.646,45.8338,30.4487,77.8749,54.9991,93.5348,36.0113,15.3645,2.38152,12.3615,44.2703,36.6235,34.6857,15.1095,32.3018,14.3979,31.1835,28.764,32.4826,13.9068,1.10271,2.21545,0.592367,26.9235,9.3304,1.82113,167.49,13.6184,1.47763,2.75731,11.5616,37.4202,46.5095,11.6937,23.2421,5.97123,27.7005,7.60296,23.2978,28.4861,38.0419,76.9894125,22.590567514245
"HMGN3",109.932,109.935,206.525,153.266,166.222,153.181,141.963,104.667,102.769,113.929,218.275,187.178,98.7548,111.078,89.9838,97.6298,119.17,92.7376,139.51,88.9769,131.852,91.0431,228.581,158.079,165.415,162.939,95.3555,149.305,113.553,122.233,216.215,136.182,114.53,142.704,172.14,73.4426,161.281,115.087,77.8787,186.177,176.514,51.039,255.538,132.878,80.5955,67.1774,110.762,134.715,121.755,155.999,204.502,155.814,145.811,11.4533,123.54074375,137.9835671415
"POLR1C",16.3073,20.7966,21.4516,14.3944,17.9353,12.8348,21.9071,7.66697,9.33429,9.966,18.5099,17.6283,12.9739,13.8632,7.89666,11.0003,10.8501,8.1941,8.89598,6.90393,21.8354,37.8346,41.1293,22.4065,31.1762,17.3043,17.1796,16.61,27.2055,15.6663,27.6792,7.49985,6.51175,12.1255,19.9773,10.3954,19.2726,21.2986,8.1186,24.3683,27.9091,9.43532,28.5004,27.1256,25.3383,23.1793,18.3445,24.0949,17.5159,42.4431,36.9685,27.1652,24.8969,3.82635,11.060489375,21.8824438176638
"MYO1D",49.1606,23.0529,28.4528,332.532,191.301,230.921,34.0779,3.34178,2.0661,3.41571,4.86936,5.62944,3.63822,3.10119,5.58458,3.67369,2.04591,4.10139,31.9868,7.58548,28.2508,60.1365,13.8304,44.8306,33.6446,8.59534,69.428,19.6693,39.6396,13.3201,23.6186,7.94563,2.86716,18.4124,16.6601,7.16915,49.0462,38.6415,2.51355,33.1776,37.3543,13.4721,18.0718,25.5286,37.8225,51.687,43.5803,11.8582,20.5465,11.9697,55.6312,28.3077,37.5101,0.735711,8.806165,45.9031630792972
"KLHL22",15.6699,11.5705,13.3078,13.4272,12.6001,13.2791,16.309,11.599,15.8313,13.8593,40.0521,39.3248,20.657,21.5708,12.2596,14.7104,16.4715,11.5789,8.5625,9.65766,14.0558,17.0336,10.6203,28.8247,30.6184,19.1892,9.98937,15.957,5.80194,15.7501,22.6463,8.09623,5.53042,7.9715,9.21936,4.95683,11.5831,11.0896,9.93577,19.146,26.5664,5.81189,23.8856,22.2887,8.55709,9.73149,11.0562,16.0157,9.34159,14.8007,26.7387,27.478,14.0698,5.68966,16.334038125,15.0362742450142
"SHC4",0.282306,0.359818,0.354042,10.4857,14.4321,5.12272,0.614041,3.65736,2.36182,3.84473,1.02201,1.47414,2.88225,2.8056,4.30769,3.13101,3.01562,4.10714,10.1024,5.35718,0.43736,0.544544,0.178363,1.03051,1.46292,3.32455,1.13309,1.7295,0.228926,1.73901,1.45108,1.91112,0.608752,0.137491,0.202039,0.047441,0.223744,1.65943,0.141847,42.5856,0.314869,0.0652774,1.13341,0.680703,0.674928,0.792067,0.395811,0.136421,0.302808,12.3079,0.296754,0.392201,0.687333,0.0113169,3.175785375,2.8414079142925
"IFT88",5.1721,4.51266,5.57639,5.05311,5.70748,5.71465,6.5674,3.57377,3.02904,4.94336,5.27844,5.00069,3.30391,3.49411,3.87822,5.53017,5.0786,4.14718,7.37247,4.54389,5.52848,6.40712,3.26726,9.57696,11.9662,6.40852,5.24878,6.17096,2.40441,5.9042,10.2575,2.50205,1.67709,4.98012,9.13963,4.29016,5.92295,3.80913,2.65854,9.81281,11.9412,2.18705,15.8743,5.95652,3.18897,3.28436,5.28452,5.06018,3.1815,43.2357,14.3072,10.5872,5.60268,0.657965,4.32974625,7.25350962250712
"MAP2",3.67441,4.16847,1.2798,16.852,9.42536,15.3521,1.52129,97.1498,161.188,64.285,100.369,86.0611,141.617,171.153,64.8197,113.853,111.077,41.732,15.4623,36.1599,3.8028,5.57845,0.0639783,3.14124,2.91815,2.63559,1.30509,4.24706,3.20472,5.11594,3.54221,1.54857,1.25761,1.23213,3.11873,0.653924,13.4013,5.00124,0.631418,10.3113,4.98529,3.05984,31.1104,4.23046,10.3058,12.6625,0.989078,0.774935,1.7809,4.76979,14.2622,2.37098,4.13856,0.0701101,76.3208925,5.91499889221273
"PLXNA1",19.4641,20.05,10.9469,54.1394,31.0684,20.5828,20.1961,11.413,19.256,5.85242,22.6379,27.4664,37.4914,29.9859,13.4367,16.6901,7.43755,4.15499,8.45068,8.3871,20.2193,56.1251,9.99483,26.6827,30.3465,17.902,12.5053,20.1515,18.4401,22.5602,26.2792,10.7876,10.5851,6.97084,13.1131,2.26918,34.3791,22.222,8.9333,28.6825,32.4621,6.5393,11.3352,21.9129,28.5935,28.8046,14.0385,25.1955,11.294,25.2942,24.4157,27.0981,22.5644,0.829129,16.77574625,21.0259488532764
"WDR73",7.72986,6.98709,9.80861,9.26812,9.54682,9.48426,12.7948,2.71933,3.13802,3.6031,7.254,7.134,3.92928,3.83883,2.67728,3.37962,3.41364,2.60206,3.55297,2.88411,9.585,12.7215,7.72086,14.4898,16.1679,10.9576,7.5634,10.2524,7.82287,9.88773,16.2786,4.04647,3.00312,6.00378,9.46554,2.79348,10.0526,8.95903,3.75613,14.1369,17.0112,4.31755,15.2109,13.895,7.60923,7.72825,7.92394,8.27873,7.08049,15.2371,18.4773,16.2192,11.2749,2.48943,4.201776875,10.1370702421652
"ZRANB3",1.09695,0.941015,1.38472,1.11148,1.24423,1.46043,1.16141,0.599342,0.81307,0.763508,0.799796,0.817212,0.993664,1.15476,0.604994,0.846032,0.949399,0.566081,0.939089,0.619597,1.09729,2.78129,2.74466,1.47964,1.79901,0.954642,0.784637,0.873433,0.766093,0.852976,1.54884,0.579755,0.257908,0.500906,0.698506,0.619747,0.99643,0.797417,1.02547,1.63721,2.29073,0.706201,1.94291,1.33982,0.89497,0.883131,0.891846,1.04624,0.665232,5.04285,1.65503,1.55892,1.28771,0.199771,0.7687898125,1.30555821557455
"RANBP10",16.2611,13.5894,27.4689,17.4334,16.8553,18.2833,18.0062,4.72889,5.85919,7.05209,42.2336,49.6562,9.99024,7.92929,5.41342,7.35093,8.09933,5.30642,6.68046,4.78275,16.9595,13.0173,17.5713,29.6609,28.9006,17.5821,14.0657,17.6793,18.0763,16.7038,31.7915,7.95228,6.06064,10.5932,14.5652,19.3721,19.3502,14.3206,15.5412,23.512,29.2491,8.00164,21.3154,22.137,21.7364,22.6679,15.1303,24.564,11.1172,23.0031,22.4692,28.636,24.1984,12.0035,12.402870625,19.2642970702754
"CERS4",15.2532,15.0243,10.5703,16.9333,13.5238,10.5721,24.3439,18.1453,18.9802,19.809,33.5446,32.8733,21.3036,22.0881,18.8652,19.6834,18.2259,19.4923,40.8305,18.1833,23.4769,1.46892,28.2399,50.1018,45.7272,21.2192,9.84547,21.0653,55.1819,18.8739,36.014,7.69983,5.98591,18.2743,14.4264,25.3744,25.4093,44.1514,1.42204,47.2204,34.3745,35.6321,29.3791,45.9593,48.232,42.4093,16.1665,22.3797,20.015,17.7853,73.3017,32.2792,43.9171,12.3147,21.31998375,27.3864484283001
"SPARC",1446.4,1016.18,498.211,2798.48,1738.13,1508.44,455.856,226.54,102.033,329.952,211.647,310.882,120.24,88.3723,229.421,820.301,275.879,174.237,1145.35,978.482,858.394,1597.83,34.5449,717.419,823.902,557.923,254.45,455.92,104.765,462.901,537.104,365.251,181.225,214.063,175.631,57.5384,967.484,159.913,112.317,2365.37,545.195,45.2356,231.777,404.764,279.412,367.866,203.064,298.153,134.25,568.201,604.314,843.878,497.79,33.4514,407.95601875,630.115920132953
"YTHDC2",19.4694,16.2174,16.4687,20.9541,20.8908,21.0377,21.0812,5.08156,6.88619,6.97364,33.8013,29.3255,9.13747,10.8878,6.05378,7.90622,6.96383,5.55629,8.69617,6.65901,19.8078,21.1062,23.0029,26.7736,26.0777,17.6226,14.3308,18.4212,17.1522,17.2434,23.4557,8.85388,5.37952,7.48777,11.3105,7.76881,19.8721,17.1266,9.60257,28.981,31.4702,7.23421,22.715,20.1973,19.1334,20.2721,19.2606,21.0057,12.0692,25.856,27.0873,28.1251,23.929,2.69013,11.12714125,19.0038025688509
"NCKAP5",1.65111,0.743707,0.193432,0.358861,0.492208,0.337445,0.304909,1.31953,0.816697,1.49231,0.507653,0.826763,0.885691,0.815466,1.39094,1.15631,0.982763,1.52733,2.48389,1.66811,1.64517,0.20189,0.257574,0.885411,0.396664,0.224771,0.431101,0.278001,2.52533,0.28887,0.403249,0.74851,0.419717,0.839549,0.493155,0.528693,6.15495,1.10571,0.0679238,1.43463,1.14476,0.0929243,0.452824,0.426466,1.46003,1.50724,0.813363,0.492911,0.411033,0.896087,1.21726,0.318887,1.77504,0.00416072,1.449789375,0.718815702801519
"CHCHD6",5.84573,5.19225,6.00494,10.2926,6.78178,7.51066,7.33496,11.368,18.6622,10.2152,11.3246,11.3708,18.647,21.4581,17.0845,12.1446,14.3453,8.03532,9.33744,8.81967,6.77079,8.80764,4.85637,10.9491,10.1978,7.16818,4.51822,6.35378,5.24646,6.67761,8.19259,3.00603,2.58779,4.48173,6.18261,1.84946,8.21864,5.79901,1.21681,16.7592,13.2413,2.69073,10.7594,7.53282,10.0428,10.3821,3.98552,5.31056,4.89723,43.8846,10.1138,10.5777,7.96619,0.659854,11.664074375,8.10709582621083
"ALDH7A1",10.6329,8.53127,19.4359,13.3089,10.864,13.8724,12.5758,32.217,24.1997,31.1707,9.83655,10.6668,24.1592,21.8414,19.2198,14.4734,24.61,27.4224,19.9901,20.3484,12.8021,21.5734,1.61767,16.9353,17.9786,8.71996,8.9809,8.6924,18.6521,8.20043,17.5021,5.57572,4.9281,11.931,11.6609,14.3422,9.4628,15.3299,2.56438,17.9102,36.6972,4.6238,10.389,16.5418,14.9746,14.4111,7.06476,3.63986,9.57763,10.6337,16.418,17.1864,16.8554,0.100972,18.757629375,12.7755049050332
"NNT",21.806,18.1853,17.7854,16.4378,17.8797,23.2324,22.0701,12.4496,18.3753,11.6506,18.2567,17.3183,22.3052,24.3852,11.125,10.7267,12.0832,9.14554,7.79831,10.0469,15.6569,29.4605,44.0257,16.4706,16.3318,24.0368,20.1447,20.5448,10.5748,24.4119,13.8698,53.1017,52.467,17.1081,21.4365,27.2804,17.3645,15.0757,69.7386,13.4674,12.421,7.19076,13.8649,13.5512,11.3379,12.1467,15.8607,12.5209,24.2873,10.3521,24.4466,16.2623,13.5154,3.30309,19.287484375,19.1612962962963
"SLC25A43",21.6562,19.2582,3.51156,14.759,16.4939,14.1867,13.5439,3.02621,3.24595,2.95914,8.94674,7.99801,3.21532,3.39914,2.2561,3.22354,2.91985,2.36702,4.29686,3.2872,17.2505,31.2816,17.6714,19.4176,16.5385,10.8196,14.9808,11.0508,33.3114,10.812,15.1035,4.81019,1.79765,7.24946,7.25405,5.05068,16.9772,15.962,1.31406,27.1243,13.6523,4.44701,3.99754,10.4495,25.4077,25.1104,13.3535,8.42622,6.567,3.95595,10.4526,16.5703,26.4935,1.93734,4.6703825,14.0446189316239
"ARFGEF2",18.6718,14.8787,32.2473,20.2903,22.1962,25.59,19.2835,5.10961,8.64648,6.06651,18.1652,16.1979,9.44284,13.4961,6.20425,7.79721,5.99715,5.06558,10.2274,6.59427,19.8438,24.4107,32.4684,19.7458,19.842,14.9738,18.8058,17.5295,17.3441,16.5728,17.6026,10.2533,7.76051,8.27749,10.1185,8.8557,18.055,15.7688,9.99463,20.3114,18.4583,11.2736,19.0882,17.0667,20.4568,21.6572,19.6901,17.3099,18.9417,27.2301,37.242,22.029,18.8366,1.71858,9.692456875,18.7888467758784
"STK3",12.5779,10.1074,9.34837,11.844,12.2315,13.8036,11.001,1.70604,1.3711,1.74838,0.705877,0.95822,1.66872,1.62484,1.71115,1.65613,1.41042,1.48978,4.91868,2.2787,11.1764,8.84602,7.40713,17.6116,18.7941,10.767,5.49188,9.50186,5.5804,9.7745,16.5916,3.92149,2.36483,4.93546,6.48393,4.07749,11.0977,7.18372,4.12814,13.0279,17.604,2.72787,5.83212,11.4043,7.51076,7.65141,5.2544,5.11302,4.41078,11.9047,8.27586,18.1969,11.9681,1.81332,2.5395035625,9.47220145156695
"ZMYM4",17.9335,16.2334,13.3175,16.8991,18.1287,19.4297,18.461,8.47408,10.1999,9.64236,31.2137,22.7584,10.7494,14.3838,8.76853,11.6971,10.3536,7.48034,11.4548,9.01421,17.8667,34.8264,21.4719,23.5357,26.2241,18.6792,11.9555,14.8158,11.8786,14.4099,23.0046,7.27061,5.50226,8.18783,11.7181,5.38317,17.6459,16.8249,7.94074,23.1661,30.6075,5.93375,17.2598,21.8635,13.5899,14.1302,13.1967,16.166,11.0594,30.796,22.6274,25.0768,18.3551,2.46554,12.288061875,17.2102061443495
"TRAF3IP2-AS1",3.45889,2.39234,1.28235,2.41024,2.57534,3.67067,2.8123,2.38864,2.57695,2.67866,5.237,4.88004,2.42989,2.7452,2.26209,2.98729,3.45036,2.08435,2.99794,2.24838,2.78233,1.82439,2.29601,6.36377,5.81728,2.50126,1.45194,2.18792,0.829288,1.9788,4.12315,1.11126,0.496619,0.894574,2.22673,0.368152,2.45887,1.36952,0.630757,3.67982,4.27427,0.487769,3.7833,2.68105,1.32592,1.55079,1.65726,1.79465,1.04554,3.367,3.68455,6.10942,3.08651,0.303571,2.6895961875,2.50351457454891
"TRIB2",47.8944,49.6655,56.096,37.1562,48.2607,33.4811,33.6287,15.5837,20.9044,10.7489,27.6765,37.6886,22.396,24.4014,13.4092,17.4574,10.411,10.1898,11.0845,14.881,48.1243,27.1973,1.97571,24.8363,35.6671,34.8272,20.6784,24.8417,15.087,23.8902,41.2346,21.1133,17.8366,29.8028,89.6695,8.83091,56.4441,20.4229,6.98513,115.993,138.017,7.77242,23.6687,45.8134,16.3704,20.6502,30.4267,96.6105,34.1187,37.8168,38.8413,55.9559,28.7278,4.51576,20.76415,38.1707497863248
"ARPC1A",91.5843,103.75,94.8885,119.83,131.736,132.446,101.304,61.316,80.1817,64.6925,103.012,91.7073,85.7498,107.613,71.7547,81.1971,75.8555,59.0997,66.2235,61.4252,96.4367,199.703,76.0296,122.91,110.62,98.6263,96.1259,94.9878,151.57,96.5179,118.148,54.6109,58.7636,53.5146,61.6352,45.3941,111.676,84.5572,29.7864,141.514,119.262,36.0505,101.218,96.0517,101.342,110.996,99.5223,81.9618,96.6285,85.8288,118.12,113.651,119.383,30.4962,77.17990625,98.8897815764482
"UBE4B",20.8683,17.5407,27.0999,31.1387,21.6738,31.5239,30.2037,9.65888,12.1291,12.4975,45.5056,41.3182,16.6098,18.1125,11.5194,14.8076,12.514,10.7429,18.0179,12.6136,19.0473,32.4056,22.9635,28.7452,30.1973,35.6533,19.9795,31.8595,27.9968,33.5857,24.7019,14.6348,13.363,8.15537,9.04292,7.51895,19.6803,19.2819,24.895,23.2824,33.7965,14.6081,25.4105,22.6927,30.9084,34.2601,19.5858,17.5905,21.1243,17.1083,28.4609,36.6597,27.3596,8.58023,17.7328175,24.0962001092118
"EXOC2",18.6834,14.1307,11.4094,15.2466,16.8362,18.3438,16.9751,8.16186,9.18653,9.36771,17.5677,15.4592,10.9705,12.9649,8.73899,11.5486,9.9486,7.88568,16.5177,9.88425,17.5491,18.8293,19.3341,20.4883,19.9944,15.552,13.0776,15.6167,15.5555,15.3192,13.8581,7.10686,4.72421,6.53647,8.87489,5.26716,18.0395,12.7641,7.51036,22.464,13.359,4.42018,16.1896,13.5308,15.7264,17.8356,14.3299,16.9385,10.8557,26.8649,18.6714,18.263,17.8534,4.7191,11.129549375,14.9646916381766
"MGME1",13.1799,9.4869,19.4697,13.5515,13.7732,12.7499,13.6959,4.78476,4.75773,5.15431,6.83086,6.33268,4.70391,4.96975,4.23189,4.57498,5.06669,4.46184,11.5477,5.83028,17.9023,33.4788,38.757,12.9508,12.3307,11.26,13.7792,9.90752,20.0279,10.701,12.2879,7.19135,6.7711,9.17931,16.218,7.5707,13.4107,14.9004,11.2579,13.9406,11.2,5.90481,9.26171,15.3462,42.4762,41.2286,16.8297,31.1038,9.7744,22.0824,24.851,11.1323,19.7876,7.7058,6.288783125,16.5279704558405
"NDUFAF6",3.50585,3.00187,3.54425,3.53821,3.43365,3.30898,4.38135,3.34135,3.68684,3.90751,7.89197,6.54434,4.0711,4.74988,3.08026,3.86045,4.05095,3.12532,3.64571,3.51253,4.15016,4.12559,5.45361,4.13015,5.1101,4.62292,3.84887,4.02862,2.92113,4.25477,5.50246,2.62883,3.36191,2.19639,3.43187,3.59682,4.03383,3.37272,5.02535,7.04721,5.86232,2.25457,5.44058,5.58653,3.85926,4.04039,4.45995,5.27969,3.29139,7.20892,7.69354,5.44723,3.8359,0.660105,4.09329875,4.27370508309592
"PRKRIP1",31.0689,24.1202,28.1179,29.0277,29.0106,30.0171,33.5403,17.6792,18.7848,19.0919,72.7658,67.3482,23.5879,22.9612,18.3027,27.5557,20.5209,17.5384,25.9173,19.6722,31.4399,26.3486,31.8281,42.3284,50.8256,33.9277,22.4472,30.8937,19.9694,30.1428,41.1523,12.8084,7.96621,23.4018,24.389,11.5039,27.5431,35.8215,10.6836,45.8609,40.5979,10.3313,51.8902,48.791,37.0553,40.0569,29.6478,42.3575,27.3308,59.5125,48.7981,46.5215,33.9506,11.2504,26.252744375,32.7387385612536
"NPAS2",9.77855,10.453,10.9649,26.645,16.0082,11.5401,34.948,15.6529,21.5884,22.5163,10.6232,12.0276,24.7619,24.1976,11.6885,8.68281,24.3768,14.5919,4.80698,5.41037,12.1961,13.7224,0.074562,17.3526,21.7119,15.0764,15.9867,17.8057,48.943,19.4654,18.4007,16.3295,13.9419,13.078,17.6367,11.5113,11.8258,20.866,9.24658,11.786,5.69106,18.31,23.4981,26.5946,29.619,33.7316,18.2821,7.55973,23.2454,17.7162,17.8556,22.1903,28.2361,0.15027,15.18890375,17.8187579867047
"PLD3",188.945,151.324,182.785,319.553,223.09,179.29,144.819,134.217,220.611,155.683,220.537,211.021,287.478,337.834,157.495,276.595,205.803,123.336,139.976,129.728,161.539,201.464,57.4131,193.903,208.811,151.945,110.965,156.443,79.309,135.016,189.503,116.89,62.0014,76.3668,91.2809,54.2063,233.884,133.922,49.6764,208.433,276.261,62.0875,891.512,172.462,125.236,131.21,110.371,223.831,96.1877,112.688,177.384,219.275,163.961,48.6145,188.3180875,170.167457454891
"ERI3",37.362,30.2837,30.2278,48.805,42.9144,46.9111,40.6198,47.2677,62.3386,53.2213,49.3571,51.7286,74.8981,75.1826,48.8132,48.7997,58.7759,46.3623,40.26,41.5079,37.4608,56.0351,29.3986,49.8243,49.4986,40.5946,27.1523,40.4866,24.7784,40.2853,47.5935,22.8609,20.142,35.7799,39.4615,17.1045,35.2714,27.7958,36.463,55.0494,45.734,14.2161,56.0179,45.9989,36.8323,39.7611,25.1488,29.8546,22.6962,98.2064,45.8042,49.9572,36.1154,6.47136,48.54920625,39.1430734093067
"RAB3GAP2",12.4645,10.6674,8.42312,14.307,13.6462,15.5403,11.1532,4.4526,5.55229,5.33112,15.7303,13.0504,5.90945,8.63456,4.96586,6.62834,6.08862,4.11508,6.81632,4.9835,11.8794,20.4329,30.905,12.7154,13.068,10.4027,7.48592,10.1591,8.86329,10.0442,11.8824,5.21255,3.37594,4.16237,5.90028,4.13246,12.0708,9.3718,5.99709,16.442,12.6785,3.72255,11.5442,9.2984,9.09658,9.37983,8.89829,7.87047,6.55575,7.21974,13.0435,13.7389,11.6223,2.55756,7.057358125,10.6898911348528
"SPIRE1",11.7181,7.99963,14.1573,18.6622,15.6894,23.7367,12.9811,12.346,14.0016,10.9206,27.3204,23.5874,15.2727,18.3652,10.247,11.4754,10.6933,8.65395,18.2003,11.521,9.73739,17.6239,1.69117,12.729,13.9499,10.2204,4.74695,12.2688,5.105,12.7025,11.2043,6.59475,4.34734,5.18137,7.19397,2.14385,14.0041,10.6759,10.4204,35.1942,10.2191,2.39857,8.63386,8.41671,8.06281,11.4263,3.20007,3.07527,4.55135,32.8481,7.84835,12.2358,9.51705,0.211476,13.59694,10.8206811823362
"RFX7",6.48906,4.33435,7.53973,5.68859,5.46741,5.76101,5.44884,1.85867,2.20983,2.22896,12.36,10.9917,2.69679,3.03571,1.97017,2.63205,2.61714,1.7153,3.06488,2.0263,5.79825,9.43178,15.4751,6.90655,7.06477,4.80134,3.84602,4.08944,5.96703,3.75607,6.36286,1.70304,1.20947,1.89485,2.53414,1.96208,6.19094,5.79743,6.30706,6.8974,6.34533,2.0579,6.21169,5.49374,9.81446,10.832,5.98968,6.0201,3.64807,9.44671,6.73481,7.40602,6.83652,0.886718,3.656934375,5.96509064102564
"DCBLD2",13.6221,14.6508,16.3902,21.0245,18.7734,24.0748,13.2757,2.7378,3.14781,3.5481,13.7406,12.2268,3.91222,5.22685,2.6034,4.81592,2.96157,2.74953,5.12142,2.72684,12.186,99.0966,1.04396,16.133,15.2479,21.1098,8.42402,17.2363,5.58034,16.8583,21.2279,11.061,8.75272,6.47241,7.92234,5.01783,12.86,12.2526,3.58478,29.6887,30.5265,3.1997,12.1693,11.7928,9.15116,9.23045,4.68133,2.29376,7.01116,30.2054,22.0948,22.1711,10.0332,0.158916,6.13703625,15.6015929059829
"BIRC7",0.669667,0.200392,0.397035,0.0820251,0.264141,0.0530099,0.397069,0.339319,0.297373,0.344382,0.0630347,0.0778422,0.190748,0.177312,0.27052,0.456589,0.262487,0.220496,0.782231,0.493748,0.344294,0.0582372,2.88132,1.76455,0.403085,0.214643,0.244666,0.34407,0.0837389,0.287182,0.216691,0.0632856,0.105051,0.351046,0.60573,0.0165834,0.949468,0.276347,0.0264225,55.4468,0.0574599,0.0112766,0.349811,0.206112,1.20457,1.35142,0.285446,0.816264,0.0959758,0.359888,0.245794,0.158642,0.816709,0.040328,0.31836790625,1.87305705508072
"IFT81",7.03183,4.37487,7.48847,14.0787,15.0332,19.2443,15.2761,3.35173,3.71974,4.34466,11.0123,9.94188,4.2283,4.65578,3.47629,5.28282,4.64897,2.98488,4.50794,3.27573,8.67047,15.7811,6.07002,21.5107,23.8324,16.3044,6.8012,14.8739,4.25655,13.9734,16.8648,4.37233,2.35121,4.69239,7.0322,1.77109,8.90071,9.90789,3.29003,15.7783,20.1026,2.17289,20.0365,15.8857,5.11261,5.75359,4.47887,4.01589,4.27842,30.6308,18.5293,19.464,11.4362,0.112027,5.065954375,11.423636825736
"QDPR",28.9116,30.5501,48.4376,23.7038,22.3304,18.6151,17.2332,185.701,113.963,178.312,99.4309,95.3571,127.076,157.918,233.044,210.456,126.02,264.672,456.587,389.797,27.5168,32.6166,21.2266,20.1986,22.5891,21.2477,16.5766,15.9586,14.0611,15.7671,21.3333,16.4179,17.8349,31.4681,25.8371,80.049,23.022,23.604,22.3319,31.4886,21.4471,9.94696,38.609,23.2544,16.7767,17.1538,15.0859,13.9999,16.0617,16.6602,24.767,23.7473,18.6391,3.21233,168.47555,24.6017940408357
"PLCB4",10.743,9.0125,0.769409,11.3205,12.891,22.6058,13.5475,1.80338,2.6067,2.86567,71.4361,57.4134,4.5723,4.74327,1.71989,6.53269,1.64647,2.55625,2.54977,4.34165,12.0379,13.9303,0.0529622,10.1285,10.2839,10.9716,12.3515,22.2761,3.37802,19.4851,15.0895,7.055,4.78931,2.17831,3.18039,0.122804,8.92789,22.2349,1.88236,26.3247,3.1776,0.756066,17.5675,12.2707,5.60978,7.45693,6.18667,0.991101,9.32616,5.29907,16.5178,15.6009,8.38525,0.0346025,11.59748375,9.90711652350427
"DMD",9.74632,5.31517,4.54599,27.219,20.059,28.2241,11.0716,3.52136,3.69126,3.73298,4.28072,4.1149,3.40572,4.18202,3.368,2.92211,2.74232,2.82945,2.5613,2.55075,7.30808,1.19767,4.26212,5.8622,5.9699,25.6333,7.52865,15.4223,1.53855,18.1495,14.5789,10.535,7.65436,0.920866,1.07297,4.0945,3.95655,7.53116,23.0878,44.4571,7.99512,4.86247,2.302,5.66894,4.9726,4.87971,2.5375,0.460759,4.45755,3.19906,4.66461,15.2909,3.50701,0.0321117,4.12805,9.42333265360874
"HEATR5A",10.1876,9.52927,9.67624,11.5482,12.5728,12.8403,10.249,5.10669,4.19038,5.01684,4.34929,4.60951,4.51254,4.16415,4.76083,4.86333,4.24438,3.81309,7.50788,5.17727,8.32327,19.3881,3.56806,10.8617,9.32702,9.89756,9.87866,9.82133,8.22232,10.2434,9.22563,6.11229,4.34496,3.32774,3.93341,3.49046,11.4269,8.80388,4.68423,14.6313,8.5516,2.86536,10.0948,6.5307,4.41453,5.13368,7.54284,7.69634,5.43129,8.96032,9.23342,10.4497,9.70929,1.44294,5.262520625,8.45681684710351
"CEP112",10.5913,9.39716,1.99603,7.55779,7.48634,7.31147,4.74239,1.65894,1.67896,1.86983,1.87716,1.93998,1.50774,1.64663,1.74998,2.45862,1.70556,1.46852,3.26669,2.04755,8.39736,4.42395,0.0564296,9.30579,8.57977,6.82401,2.73059,7.10954,1.56891,7.75163,8.6687,3.38789,2.12659,2.63494,2.68364,0.60948,6.9737,2.09253,2.93974,11.5697,7.4432,1.47029,8.4455,6.24556,1.86952,2.00528,1.66939,4.38537,1.80046,26.0196,7.58803,9.46372,5.32119,0.0364466,2.33527125,5.78393417901235
"ZRANB2",68.7785,52.8378,38.2886,100.483,89.9531,99.1941,83.027,27.0272,30.5132,30.0198,123.496,112.175,33.5971,43.2318,28.7737,35.1918,35.2284,24.369,47.5924,29.2715,72.9223,74.0851,99.6169,122.202,121.058,83.152,64.2252,82.3091,40.1682,75.7433,123.744,33.0495,20.3541,27.2868,49.5982,20.3173,82.8539,58.7815,29.9487,134.316,139.679,27.3702,144.658,88.0935,53.7905,54.9863,65.3692,65.6058,47.0653,71.9308,115.536,148.451,81.2806,9.00632,46.046525,76.7350434472934
