Gene,Combined_Score,Clinical Trials,Hpa,Heatmap,Vital,Non Vital,Protein Vital,Protein Non Vital
CACNA1C,8.964548436957571,23.0,10.0,-0.1315159210321625,4.779085625,8.32676053205128,3.510381422020385,3.4594929751968904
NCAM1,8.960905497386644,33.0,10.0,0.4996237822225675,53.712549375,16.5769565852327,5.322595962148115,5.10903174977299
KCNN4,8.95685572541756,23.0,10.0,0.2312633049726868,1.7336770625,11.2724260318139,3.650177735275229,3.943201251188116
TERT,8.950875539788903,23.0,5.0,0.0118502593471454,0.112957003125,0.14383475477208,0.0,3.376086652215041
APCDD1,8.948742431299548,26.0,8.0,0.8317643878569103,0.0,0.0,3.5191934507561644,3.738703011406285
SLC16A1,8.948730148804898,31.0,10.0,0.8794235835144619,0.0,0.0,5.479350445688112,5.048758735838371
SCN9A,8.940242326407844,24.0,10.0,0.0471480563200013,1.2736619375,1.65664866158594,4.161184855399641,3.14826135359894
CRCP,8.933928648429106,25.0,10.0,0.6841488381541604,0.0,0.0,4.404996925062293,4.362149261065843
MIB1,8.933354766742939,33.0,7.0,0.4458616234491634,8.707194375,14.2066656267806,3.9042504391840263,3.776689236759835
CADM1,8.919571887603514,27.0,10.0,1.0506659335148183,0.0,0.0,5.040722907318821,4.762014075484733
GNAQ,8.917720598912014,33.0,10.0,0.5837931758569175,35.302825,29.2220826899335,5.547210371513844,5.215226652445621
NRG1,8.917191227246414,33.0,8.0,0.1313324297642095,0.755093025,1.17800055460589,4.546167448949939,3.5712334501647125
BDNF,8.914186502751868,25.0,5.0,-0.1685384322299516,1.2834902875,0.513023080911681,0.0,4.144750560345921
MME,8.897398546779685,25.0,10.0,0.6552886117313398,2.16353979375,23.5491775176638,4.447872647860796,4.447025275396859
HOXA9,8.894805774964393,33.0,0.0,-0.301459965619681,0.074895546875,11.5685131356838,0.0,0.0
IRS1,8.894291354749068,33.0,7.0,0.1676953447255319,3.2501355625,13.6791505194682,3.786772104043846,3.793737776187099
EPCAM,8.893293659613443,33.0,10.0,-0.1379494616133542,7.1763401875,44.9780851692783,5.107600146371035,4.995187500763594
HMGCR,8.886920551418763,35.0,5.0,0.3441797254757212,16.3288325,20.9048778110161,2.873298524741656,3.794633529482808
CSF1,8.882365596926268,25.0,10.0,-0.8187206089229225,12.968475625,36.8868345251662,3.452859156777096,3.635138621212306
SLC31A2,8.878532815226494,0.0,10.0,-0.8096642894279683,2.5067436875,2.66101965052232,0.0,0.0
EGF,8.87528541687445,35.0,5.0,-0.0630233659034115,0.5820820375,3.05616661329535,2.44775425580153,4.044775957501056
NRAS,8.874928853688708,33.0,10.0,-0.2047669543273247,10.79293625,17.3673064719848,5.135049507689481,4.974730724265305
SEMA4C,8.865559707835367,30.0,8.0,0.1728320762298762,26.90226875,47.4379237179487,3.970896231205856,3.701249276253593
