Gene,Combined_Score,Clinical Trials,Hpa,Heatmap,Vital,Non Vital,Protein Vital,Protein Non Vital
MYEOV,15.588503288880544,0.0,5.0,0.0008682334307145,0.05921686875,1.84676430004748,0.0,0.0
RNF182,15.586840834008823,0.0,5.0,0.0382740275488512,7.39715956875,0.688295911253561,0.0,0.0
KCNMB3,15.585926301153421,0.0,5.0,-0.0072014600025667,0.46963175,1.46177511775878,0.0,0.0
TMEM80,15.576931323478608,0.0,5.0,0.0710481669805257,12.3552075,25.8755920322887,0.0,0.0
TMEM116,15.576460823665567,0.0,5.0,-0.0184447317212113,3.6227275,5.12844090218424,0.0,0.0
WDPCP,15.574412674894944,0.0,7.0,2.710155602864798,1.05911675,1.43406059021842,0.0,3.3729983191536363
BCL2L12,15.574268628449198,31.0,7.0,0.1722205957280361,3.43877625,15.6748247958215,0.0,4.198600931508193
RNF217,15.573508866879308,0.0,5.0,-0.032290150851587,2.52215625,7.92211788081671,0.0,0.0
TVP23B,15.573411779484953,0.0,5.0,-0.0054436557611323,5.41957875,13.643364368471,0.0,0.0
TMEM144,15.57117922317072,0.0,5.0,0.0538565837915824,19.124101875,2.7782655365622,0.0,0.0
ZNF584,15.570748731470253,0.0,5.0,-0.0208013400752433,5.99698875,8.27114375356125,0.0,0.0
ALG10B,15.567271381944764,0.0,5.0,-0.071934730478435,1.3895875,2.70679268518519,0.0,0.0
EDA2R,15.565030542806408,0.0,5.0,-0.0778093678983142,0.9275426875,6.26791716619183,0.0,0.0
TMEM60,15.562845876795672,0.0,5.0,0.0177651622137607,13.193499375,23.5084731671415,0.0,0.0
TM4SF19,15.56204268617798,0.0,5.0,-0.1037855298656232,0.15261324375,0.314965569278253,0.0,0.0
TMEM185B,15.56103585886574,0.0,5.0,-0.0399021747731537,7.07501125,15.7011922507123,0.0,0.0
TMEM183A,15.560724154834038,0.0,7.0,-0.6997621770569444,23.612846875,25.1617518281102,0.0,0.0
TMEM187,15.559242120146237,0.0,5.0,-0.0701142143650604,4.79967,10.0441876875594,0.0,0.0
IL20RB,15.548438729468034,0.0,5.0,-0.118702135919987,0.517283625,22.5571915375119,0.0,0.0
EPOR,15.548245972453596,23.0,10.0,-0.1923027605716782,7.42459875,19.7840459069326,0.0,4.181983680133286
CNTD1,15.547509300505673,0.0,5.0,-0.1503439105750154,1.05110175,2.99451999905033,0.0,0.0
GPR137C,15.54542234269202,0.0,5.0,-0.0892563833211284,12.670342375,0.997175154320988,0.0,0.0
PDCD1LG2,15.544855537299828,32.0,8.0,-0.3046267268015276,0.84089525,2.87352310731244,0.0,4.3641492418769054
CTNS,15.544665028278052,24.0,8.0,0.4427895158652649,7.269324375,17.2543553608737,0.0,4.17067578045136
ECE2,15.543682673627936,0.0,5.0,-0.0611415273729452,17.7965220625,2.8267990660019,0.0,0.0
ZDHHC23,15.536729529497944,0.0,5.0,-0.1755047435114171,3.43533675,4.15205009401709,0.0,0.0
DLK2,15.536032291687755,0.0,5.0,-0.177736779058218,3.8797894375,2.7215465365622,0.0,0.0
RNF175,15.531426140930586,0.0,5.0,-0.1847580944319216,6.06869225,0.994684570037987,0.0,0.0
